node_id1 node_id2 t label
50839 14732 2 Authoring
50840 14732 2 Authoring
21479 14732 2 Authoring
21480 14732 2 Authoring
21484 14732 2 Authoring
50844 14732 2 Authoring
50845 14733 2 Authoring
19913 14733 2 Authoring
50847 14734 2 Authoring
50848 14734 2 Authoring
50849 14735 2 Authoring
49969 14735 2 Authoring
50851 14736 2 Authoring
16820 14736 2 Authoring
50853 14737 2 Authoring
50854 14737 2 Authoring
50855 14737 2 Authoring
50856 14738 2 Authoring
50857 14738 2 Authoring
50858 14738 2 Authoring
50859 14738 2 Authoring
50860 14739 2 Authoring
50861 14739 2 Authoring
50862 14740 2 Authoring
50863 14740 2 Authoring
50864 14740 2 Authoring
20746 14741 2 Authoring
50866 14741 2 Authoring
20851 14741 2 Authoring
50868 14742 2 Authoring
50869 14742 2 Authoring
50870 14742 2 Authoring
50871 14743 2 Authoring
19205 14744 2 Authoring
19306 14744 2 Authoring
50874 14744 2 Authoring
50875 14744 2 Authoring
50876 14745 2 Authoring
50877 14745 2 Authoring
50878 14745 2 Authoring
21464 14745 2 Authoring
21516 14746 2 Authoring
50881 14747 2 Authoring
50882 14748 2 Authoring
17007 14748 2 Authoring
20831 14749 2 Authoring
19205 14749 2 Authoring
19306 14749 2 Authoring
50887 14750 2 Authoring
50888 14750 2 Authoring
50889 14751 2 Authoring
50890 14752 2 Authoring
50891 14752 2 Authoring
50892 14752 2 Authoring
50893 14753 2 Authoring
50894 14753 2 Authoring
50895 14753 2 Authoring
50896 14754 2 Authoring
50897 14754 2 Authoring
50898 14754 2 Authoring
50899 14755 2 Authoring
50900 14755 2 Authoring
50901 14755 2 Authoring
50859 14755 2 Authoring
50903 14756 2 Authoring
50904 14756 2 Authoring
47401 14756 2 Authoring
50906 14756 2 Authoring
50907 14757 2 Authoring
50908 14757 2 Authoring
50909 14758 2 Authoring
50910 14758 2 Authoring
50911 14758 2 Authoring
50912 14759 2 Authoring
21527 14759 2 Authoring
19912 5915 4 Authoring
19913 5915 4 Authoring
19914 5916 4 Authoring
19915 5916 4 Authoring
16840 5916 4 Authoring
19917 5917 4 Authoring
19918 5917 4 Authoring
19919 5918 4 Authoring
19920 5918 4 Authoring
19921 5918 4 Authoring
19922 5919 4 Authoring
19923 5919 4 Authoring
19924 5919 4 Authoring
19925 5919 4 Authoring
19926 5919 4 Authoring
19927 5920 4 Authoring
19928 5920 4 Authoring
19929 5920 4 Authoring
19315 5921 4 Authoring
19931 5922 4 Authoring
17020 5922 4 Authoring
19221 5922 4 Authoring
19934 5922 4 Authoring
19935 5923 4 Authoring
19326 5923 4 Authoring
19937 5923 4 Authoring
19938 5924 4 Authoring
19939 5924 4 Authoring
19940 5924 4 Authoring
19941 5925 4 Authoring
19308 5925 4 Authoring
19943 5925 4 Authoring
19944 5925 4 Authoring
19945 5926 4 Authoring
16905 5926 4 Authoring
19947 5926 4 Authoring
19948 5926 4 Authoring
19949 5927 4 Authoring
19326 5927 4 Authoring
19951 5928 4 Authoring
19952 5928 4 Authoring
19953 5928 4 Authoring
19954 5928 4 Authoring
19955 5929 4 Authoring
19956 5929 4 Authoring
19957 5929 4 Authoring
19958 5929 4 Authoring
19959 5930 4 Authoring
16986 5930 4 Authoring
19961 5931 4 Authoring
19962 5931 4 Authoring
19963 5931 4 Authoring
19964 5932 4 Authoring
19965 5932 4 Authoring
19966 5932 4 Authoring
19967 5932 4 Authoring
19968 5932 4 Authoring
19969 5933 4 Authoring
19326 5933 4 Authoring
16903 5934 4 Authoring
19972 5934 4 Authoring
19973 5934 4 Authoring
19974 5935 4 Authoring
19685 5935 4 Authoring
19976 5935 4 Authoring
19977 5935 4 Authoring
19978 5935 4 Authoring
19979 5936 4 Authoring
19980 5936 4 Authoring
19981 5936 4 Authoring
19982 5936 4 Authoring
19983 5936 4 Authoring
19984 5936 4 Authoring
19694 5936 4 Authoring
19986 5937 4 Authoring
19987 5937 4 Authoring
19988 5937 4 Authoring
19989 5938 4 Authoring
19990 5938 4 Authoring
19991 5938 4 Authoring
20746 6161 5 Authoring
20747 6161 5 Authoring
20112 6161 5 Authoring
20749 6161 5 Authoring
20750 6161 5 Authoring
20751 6162 5 Authoring
17013 6162 5 Authoring
19311 6163 5 Authoring
19314 6163 5 Authoring
19939 6164 5 Authoring
20756 6164 5 Authoring
20757 6165 5 Authoring
20758 6165 5 Authoring
20759 6166 5 Authoring
20760 6166 5 Authoring
20761 6166 5 Authoring
20762 6166 5 Authoring
20763 6167 5 Authoring
19148 6167 5 Authoring
20765 6167 5 Authoring
20766 6167 5 Authoring
20766 6168 5 Authoring
20768 6168 5 Authoring
19986 6168 5 Authoring
20770 6169 5 Authoring
20771 6169 5 Authoring
20772 6169 5 Authoring
19918 6169 5 Authoring
20774 6170 5 Authoring
16932 6170 5 Authoring
20776 6170 5 Authoring
20777 6171 5 Authoring
20778 6171 5 Authoring
19217 6171 5 Authoring
20780 6171 5 Authoring
19197 6172 5 Authoring
17014 6172 5 Authoring
17013 6172 5 Authoring
19221 6172 5 Authoring
19119 6172 5 Authoring
20786 6172 5 Authoring
20787 6172 5 Authoring
20788 6173 5 Authoring
20789 6173 5 Authoring
20790 6173 5 Authoring
20791 6173 5 Authoring
19951 6174 5 Authoring
19952 6174 5 Authoring
20794 6174 5 Authoring
19953 6174 5 Authoring
20796 6175 5 Authoring
20797 6175 5 Authoring
20798 6175 5 Authoring
20799 6175 5 Authoring
20800 6175 5 Authoring
20801 6175 5 Authoring
20802 6175 5 Authoring
20803 6175 5 Authoring
20804 6176 5 Authoring
20805 6176 5 Authoring
20806 6176 5 Authoring
20807 6176 5 Authoring
19569 6176 5 Authoring
20809 6177 5 Authoring
20810 6177 5 Authoring
20811 6178 5 Authoring
20812 6178 5 Authoring
20813 6178 5 Authoring
20814 6179 5 Authoring
20815 6179 5 Authoring
20816 6179 5 Authoring
20817 6179 5 Authoring
20818 6180 5 Authoring
20819 6180 5 Authoring
20820 6180 5 Authoring
20821 6181 5 Authoring
20120 6181 5 Authoring
17063 6181 5 Authoring
20824 6181 5 Authoring
20825 6181 5 Authoring
20607 6182 5 Authoring
20827 6182 5 Authoring
20828 6183 5 Authoring
19205 6183 5 Authoring
20830 6183 5 Authoring
20831 6183 5 Authoring
19306 6183 5 Authoring
20833 6184 5 Authoring
20834 6184 5 Authoring
20812 6184 5 Authoring
20836 6184 5 Authoring
20837 6184 5 Authoring
20838 6185 5 Authoring
20839 6185 5 Authoring
20840 6186 5 Authoring
17014 6186 5 Authoring
20842 6186 5 Authoring
20843 6187 5 Authoring
17013 6187 5 Authoring
20845 6188 5 Authoring
20846 6188 5 Authoring
20790 6188 5 Authoring
20848 6189 5 Authoring
17013 6189 5 Authoring
20746 6190 5 Authoring
20851 6190 5 Authoring
17006 6191 5 Authoring
20853 6191 5 Authoring
20854 6191 5 Authoring
19761 6191 5 Authoring
17039 6191 5 Authoring
17004 6192 5 Authoring
20858 6192 5 Authoring
20859 6193 5 Authoring
50713 14696 6 Authoring
19646 14696 6 Authoring
50715 14697 6 Authoring
19238 14697 6 Authoring
50717 14697 6 Authoring
50718 14697 6 Authoring
19197 14698 6 Authoring
50720 14698 6 Authoring
17014 14698 6 Authoring
19270 14698 6 Authoring
50723 14699 6 Authoring
50724 14699 6 Authoring
50725 14699 6 Authoring
50726 14700 6 Authoring
50727 14700 6 Authoring
19943 14700 6 Authoring
50729 14701 6 Authoring
19369 14701 6 Authoring
50731 14702 6 Authoring
50732 14702 6 Authoring
17004 14702 6 Authoring
19608 14702 6 Authoring
50385 14702 6 Authoring
50736 14703 6 Authoring
50737 14703 6 Authoring
17004 14703 6 Authoring
50390 14703 6 Authoring
50740 14704 6 Authoring
50726 14704 6 Authoring
50742 14704 6 Authoring
48052 14704 6 Authoring
50744 14705 6 Authoring
48040 14705 6 Authoring
19276 14705 6 Authoring
50747 14705 6 Authoring
50748 14706 6 Authoring
19662 14706 6 Authoring
19989 14707 6 Authoring
49809 14707 6 Authoring
50752 14707 6 Authoring
50753 14707 6 Authoring
50754 14708 6 Authoring
