nodeId	Info1	Info2
5672	A Visual Query Interface for Ontology-based Peer Data Management Systems	2013
5673	Classificador de alinhamento de ontologias utilizando técnicas de aprendizado de máquina	2013
5674	Requisitos Não-Funcionais em Modelos de Processos de Negócio: Uma Revisão Sistemática	2013
5675	Proposta e Análise de Desempenho de Dois Métodos de Seleção de Características para Random Forests	2013
5676	Insiders: Um Fator Ativo na Segurança da Informação	2013
5677	Plataforma PGuide: um modelo de recomendação para usuários móveis	2013
5678	Sistema Inteligente de Apoio à Análise Crítica da Atuação do Corpo Parlamentar	2013
5679	Estudo comparativo entre algoritmos de árvores de classificação e máquinas de vetores suporte baseados em ensembles de classificadores	2013
5680	Avaliação de uma Abordagem de Aprendizado Supervisionado para Operações no Mercado de Ações	2013
5681	O Navegar Impreciso – A Privacidade no Facebook Vivenciada por seus Usuários	2013
5682	Aplicando o Método Percurso com Barreiras: indo além da avaliação automática de acessibilidade	2013
5683	Ferramentas para Coleta Móvel de Dados	2013
5684	OpenMuseum: uma estrutura para colaboração entre instituições de patrimônio cultural	2013
5685	Busão: um Sistema de Informações Móvel para Auxílio à Mobilidade Urbana Através do Uso de Transporte Coletivo	2013
5686	Experimenting with Design Thinking in Requirements Refinement for a Learning Management System	2013
5687	Testing Asynchronous Information Systems with ThreadControl: a Case Study	2013
5688	Gestão de Processos de Negócio em Curso de Sistemas de Informação: Relato de Experiência Utilizando Software Livre	2013
5689	RecRoute: Uma Proposta de Aplicativo para Recomendação de Rotas de Ônibus Utilizando Informações Contextuais dos Usuários	2013
5690	Um Algoritmo Genético Paralelo Aplicado ao Problema de Cobertura de Conjuntos	2013
5691	Semantic Integration - Uma Extensão do Núcleo do Middleware Ginga	2013
5692	Estudo Comparativo entre Ferramentas baseadas em Conhecimento para a Gestão da Inovação	2013
5693	Metodologia para Avaliar o Grau de Maturidade da Gerência de Riscos	2013
5694	O Efeito da Conscientização de Usuários no Meio Corporativo no Combate à Engenharia Social e Phishing	2013
5695	CASIA : A Context-Aware Service Identification Aligned to Business	2013
5696	Explorando a Engenharia de Requisitos Orientada a Serviços: Uma Revisão Sistemática da Literatura	2013
5697	Análise da Aplicabilidade do Uso de Ontologias e Regras Semânticas para Apoiar a Verificação de Conformidade no Contexto de Arquiteturas Orientadas a Serviço	2013
5698	DiSEN-CI: Um Servidor de Integração Contínua de Modelos	2013
5699	Uma Metodologia MDA Para Apoio Ao Desenvolvimento Semi-Automático de Sistemas Multi-Agentes	2013
5700	Evolução de uma Arquitetura de Framework de Aplicação para Sistemas de Informação com Desenvolvimento Dirigido por Modelos	2013
5701	Protótipo de uma Ferramenta de Software para Apoio no Tratamento de Crianças com Autismo	2013
5702	PL / SQL Advisor : a Static Analysis-based Tool to Suggest Improvements for Stored Procedures	2013
5703	Sistema para Transição de Governos no Brasil	2013
5704	AlienDroid – Abstração do Acesso a Dados em Android	2013
5705	SPLOT-TM: Apoio ao Gerenciamento de Testes Funcionais em Linha de Produto de Software	2013
5706	PSOView: Simulador Web para o Algoritmo de Otimização Global Particle Swarm Optimization	2013
5707	Um Processo para o uso de Linguagens de Consulta em Código Fonte	2013
5708	Sistema de Gerenciamento de Workflow baseado em Redes de Petri e em Algoritmos Genéticos	2013
5709	Adaptação de Processos de Software Utilizando Situational Method Engineering e Search-base Software Engineering	2013
5710	Automatic discovery of failures in business processes using Process Mining techniques	2013
5711	Using PDCA as a General Framework for Teaching and Evaluating the Learning of Software Engineering Disciplines	2013
5712	Um Sistema de Reconhecimento de Expressões Faciais para Apoiar um Ambiente Virtual de Aprendizagem	2013
5713	Praticando Qualidade de Software: Ensinando e Aprendendo seus Valores através de Ambiente Real	2013
5714	MAAT - Sistema de Avaliação de Alunos e Tutores para um Ambiente Virtual de Aprendizagem	2013
5715	ProgramAR - Ferramenta para auxiliar o ensino em Álgebra Relacional	2013
5716	Br-SCMM: Modelo Brasileiro de Maturidade para Cidades Inteligentes	2013
